 Philippines,19,,29,,25,,37,,,,,,,,,,,,
 Poland,49,,44,,48,,56,,70,,73,,77,,77,,,,
 Portugal,34,,57,,72,,81,,88,,91,,91,,91,,92,,
 Qatar,19,,23,,29,,35,,,,56,,,,54,,58,,
 Romania,60,,52,,69,,73,,79,,80,,80,,92,,90,,
 Russian Federation,76,,62,,61,,69,,,,75,,77,,80,,84,,
 Rwanda,,,,,,,,,11,,12,,13,,14,,,,
 Saint Kitts and Nevis,78,,97,,,,99,,90,,96,,,,82,,94,,
 Saint Lucia,65,,68,,64,,70,,60,,60,,61,,60,,65,,
 Saint Vincent and the Grenadines,,,,,,,,,,,,,,,78,,69,,
 Samoa,,,24,,52,,,,36,,39,,34,,,,37,,
 San Marino,,,,,,,,,93,,108,,107,,,,,,
 Sao Tome and Principe,25,,,,,,29,,39,,53,,52,,48,,42,,51
 Saudi Arabia,,,,,,,10,,11,,12,,14,,14,,16,,
 Senegal,2,,,,3,,8,,12,,13,,14,,,,15,,
 Serbia,,,,,51,,56,,53,,56,,57,,58,,59,,
 Seychelles,100,,101,,100,,101,,106,,101,,99,,93,,93,,
 Sierra Leone,,,,,4,,,,,,7,,9,,10,,,,
 Slovakia,,,73,,82,,97,,91,,91,,92,,92,,92,,
 Slovenia,62,,59,,77,,78,,89,,91,,95,,94,,93,,
 Solomon Islands,34,,41,,35,,,,102,,101,,94,,94,,98,,
 South Africa,,,,,31,,41,,74,,73,,78,,76,,,,
 South Sudan,,,,,,,,,,,6,,,,,,,,
 Spain,73,,91,,,,,,,,,,,,99,,98,,
 Sri Lanka,,,,,,,,,88,,89,,92,,95,,,,
 Sudan,,,,,,,22,,31,,35,,37,,34,,,,
 Suriname,83,,,,,,82,,,,91,,,,94,,94,,
 Swaziland,13,,,,,,,,22,,25,,,,,,,,
 Sweden,64,,67,,74,,94,,95,,95,,95,,95,,96,,
 Switzerland,90,,97,,92,,98,,99,,100,,99,,103,,105,,
 Syrian Arab Republic,7,,7,,9,,10,,10,,12,,11,,6,,,,
 Tajikistan,,,14,,7,,9,,8,,9,,,,10,,,,11
 Tanzania (United Republic of),,,,,,,27,,32,,,,34,,32,,,,
 Thailand,42,,68,,,,,,,,,,,,,,73,,
 The former Yugoslav Republic of Macedonia,,,25,,29,,31,,24,,25,,29,,,,,,
 Timor-Leste,,,,,,,10,,,,,,,,14,,17,,
 Togo,3,,2,,2,,,,7,,9,,11,,14,,15,,
 Tonga,,,,,,,,,,,,,36,,,,39,,
 Trinidad and Tobago,8,,,,60,,88,,,,,,,,,,,,
 Tunisia,7,,,,16,,,,,,,,,,41,,43,,
 Turkey,4,,6,,7,,11,,25,,29,,30,,28,,,,
 Turkmenistan,,,,,,,,,,,,,,,,,63,,
 Tuvalu,,,,,,,91,,,,,,,,,,93,,
 Uganda,,,,,,,,,14,,,,,,11,,,,
 Ukraine,67,,,,51,,83,,104,,106,,104,,,,,,
